evidence_set_id,source_class_scope,artifact_path,artifact_type,availability,sha256,contract_class_coverage,raw_evidence_retained,conclusion,status,duplicate_work_risk
R4-PREV-DIVE-EBRE,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_crosswalk_sample_validation.md,manual_review,AVAILABLE_VERIFIED,e2071d7b525db22ba98e10dd08eb422ee0f2cdddaa7959af9e4347a70c62a0d0,75 EB + 75 RE (seed=42),YES (per-contract TP/FP tables with reasons),Folder TP rates: EB 5.3% RE 4.2%. Prior DROP recommendation for DIVE EB/RE labels.,TO_RECOVER,HIGH
R4-PREV-DIVE-SLITHER,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_slither_agreed_subset_validation.md,manual_review,AVAILABLE_VERIFIED,32a0a84cc3f2acf120f6ed5a59b142499998143776097368f8883065ac2af0d9,100 EB + 75 RE (seed=7) DIVE-Slither agreed subset,YES (per-contract TP/FP criteria + verdicts),Second-round review of DIVE-Slither agreed subset.,TO_RECOVER,HIGH
R4-PREV-DIVE-CORROB,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_externalbug_reentrancy_slither_corroboration.json,tool_corroboration,AVAILABLE_VERIFIED,01c22e50127b530614f7c6165e7ca97481ead96eafd615a2ae7f992e1a60aa3c,6804 EB agreed (42.7%) 8258 RE agreed (75.0%),YES (agreed_shas lists),Slither corroboration of DIVE automated labels.,TO_RECOVER,MEDIUM
R4-PREV-DIVE-ADERYN1,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_aderyn_per_contract_v1.json,tool_output,AVAILABLE_UNVERIFIED,,573 contracts,YES (per-contract Aderyn outputs),Aderyn per-contract results on DIVE subset.,TO_RECOVER,MEDIUM
R4-PREV-DIVE-ADERYN2,DIVE ExternalBug/Reentrancy,data_module/audit/2026-06-18_dive_aderyn_on_slither_disagreed_v1.json,tool_output,AVAILABLE_UNVERIFIED,,Disagreed subset,YES (Aderyn on disagreed subset),Aderyn run on Slither-disagreed DIVE subset.,TO_RECOVER,MEDIUM
R4-PREV-DIVE-SLITHER-CACHE,DIVE all classes,data_module/data/slither_cache/dive/,tool_output,AVAILABLE_UNVERIFIED,,17287 .slither.json files,YES,Slither per-contract outputs for DIVE.,TO_RECOVER,LOW
R4-PREV-DIVE-ADERYN-CACHE,DIVE all classes,data_module/data/aderyn_cache/dive/,tool_output,AVAILABLE_UNVERIFIED,,573 .aderyn.json files,YES,Aderyn per-contract outputs for DIVE.,TO_RECOVER,LOW
R4-PREV-DIVE-LABELS,DIVE all classes,data_module/data/raw_staging/dive_labels/DIVE_Labels.csv,source_labels,AVAILABLE_VERIFIED,a260946ec7741ca4212648a0568f419a32e7cac96c9c0dca1fe3d812bb43f029,22330 rows (8 DASP classes),YES (original automated CSV),Source-native automated multi-label CSV.,TO_RECOVER,LOW
R4-PREV-DIVE-OTHER,DIVE Arithmetic/DoS/UncheckedReturn/TimeManip/BadRandom/FrontRunning,—,manual_review,UNAVAILABLE,,0 classes reviewed,NO,No per-class review artifacts for non-EB/RE DIVE classes.,UNAVAILABLE,HIGH
R4-PREV-DIVE-TMP,DIVE EB/RE sample lists,/tmp/Access_Control_sample.txt etc.,sample_manifest,UNAVAILABLE,,Sample membership,NO (temp files not committed),Sample lists not in repo. Membership recoverable from md tables + seeds 42/7.,UNAVAILABLE,LOW
